sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="3122",="12","Ferneto Máquinas Artigos Ind. Alimentar, SA","2022","207,43","0","0","0","0","0","0","0","0","0","0","150,03","57,4"
="3130",="08","Megafluxo Comércio Equip. Industriais, Lda.","2022","834,33","0","0","0","0","0","0","0","0","0","834,33","0","0"
="3287",="05","Bernardino Vieira Fernandes","2022","24,15","0","0","24,15","0","0","0","0","0","0","0","0","0"
="3306",="12","Termologia Refrig. Ind. Equip. Serviços, Lda.","2022","-35,2","0","-35,2","0","0","0","0","0","0","0","0","0","0"
="3329",="30","Jorge Manuel Martins Dias","2022","163,8","0","0","0","183,6","50,4","0","-183,6","113,4","0","0","0","0"
="3348",="11","Ferramentas Três Efes","2022","155,6","0","0","0","0","0","0","0","155,6","0","0","0","0"
="3392",="08","Tubofuro Tubos em Pvc, SA","2022","113,4","0","0","0","0","113,4","0","0","0","0","0","0","0"
="3478",="12","Modesp Modelação Especializada, Lda.","2022","780,3","0","0","0","146,3","0","585","0","0","0","67","-18","0"
="3670",="06","Ondamétrica, Unip., Lda","2022","762,2","102","0","0","210,8","449,4","0","0","0","0","0","0","0"
="3695",="13","Maquicaf Electrodomésticos, SA","2022","46,8","0","0","0","0","0","0","0","0","0","0","0","46,8"
="3709",="08","Alburimetal Soc. Metalúrgica de Alburitel, Lda","2022","149,8","0","149,8","0","0","0","0","0","0","0","0","0","0"
="3715",="08","Fatiperfil Serralharia, Lda","2022","236,3","0","94,3","0","0","0","0","0","142","0","0","0","0"
="3755",="30","JOÃO CARLOS GOMES PINTO UNIPESSOAL LDA","2022","359,52","0","-31,5","0","0","0","0","91,9","116,8","56,9","0","0","125,42"
="3782",="06","Manuel Fernando Moutinho Mendes, Unip., Lda","2022","600,6","0","72,77","0","0","0","0","0","125,3","0","0","0","402,53"
="3883",="08","Olimar Const. Elect. Domingos Francisco Ramilo SA","2022","1322,77","218,85","0","73,39","145,35","0","293,66","249,39","0","0","239,13","103","0"
="3892",="30","Lindovale - Embalagens Metálicas, Lda","2022","306,48","0","0","76,9","0","0","0","0","0","137,55","0","15","77,03"
="3908",="11","Cordefer Comércio de Ferramentas, Lda","2022","162,47","0","90","72,47","0","0","0","0","0","0","0","0","0"
="4020",="11","Dunimex - Equipamentos Industriais, Lda","2022","1202,68","0","340,88","395,04","0","0","0","0","466,76","0","0","0","0"
="4131",="16","Ditram Componentes e Electrónica, Lda","2022","156,6","0","0","0","0","0","0","0","0","0","156,6","0","0"
="4140",="06","3DMAQ Maquinagem de Precisão, Lda","2022","3019,75","905,13","0","0","0","216","0","384,9","591,28","0","16,48","0","905,96"
